Name,mode,scale,label,eta,validity,fid,sfid,is,precision,recall
guide_mode=classifier+scale=0.25+label=6,classifier,0.25,6,1,0.4985,60.22213357,130.3255532,5.336591721,0.483398438,0.553
guide_mode=classifier+scale=0.25+label=1,classifier,0.25,1,1,0.5557,50.80467534,116.1522749,4.372646809,0.458496094,0.554
guide_mode=classifier+scale=0.25+label=8,classifier,0.25,8,1,0.7139,50.10962847,113.2602861,4.763685226,0.532226563,0.472
guide_mode=classifier+scale=2.0+label=8,classifier,2,8,1,0.9854,49.90988822,176.0733061,2.604268789,0.769042969,0.189
guide_mode=classifier+scale=2.0+label=1,classifier,2,1,1,0.9165,37.43591813,121.9413132,2.95593667,0.710449219,0.382
guide_mode=classifier+scale=2.0+label=6,classifier,2,6,1,0.9521,59.63297512,163.3319807,2.181533813,0.844726563,0.32
guide_mode=classifier+scale=1.0+label=8,classifier,1,8,1,0.9707,40.46092606,145.9388898,2.986890078,0.736816406,0.292
guide_mode=classifier+scale=1.0+label=1,classifier,1,1,1,0.8447,33.01601225,115.796742,2.999480724,0.690917969,0.441
guide_mode=classifier+scale=1.0+label=6,classifier,1,6,1,0.8921,44.96441008,142.8239157,2.664008617,0.771972656,0.418
guide_mode=classifier+scale=0.5+label=8,classifier,0.5,8,1,0.9038,37.72568429,125.3649196,3.588686466,0.658691406,0.405
guide_mode=classifier+scale=0.5+label=1,classifier,0.5,1,1,0.7344,36.3049335,113.7938747,3.531636477,0.588867188,0.519
guide_mode=classifier+scale=0.5+label=6,classifier,0.5,6,1,0.7339,43.42364159,131.4425939,3.689566135,0.64453125,0.509
guide_mode=classifier+scale=0.25+label=1,classifier,0.25,1,0,0.6982,39.74736468,117.6300295,3.821718454,0.555175781,0.538
guide_mode=classifier+scale=0.25+label=6,classifier,0.25,6,0,0.6582,43.09627712,131.3815224,4.288852215,0.612304688,0.589
guide_mode=classifier+scale=0.25+label=8,classifier,0.25,8,0,0.8564,32.91133541,114.9029214,3.6887362,0.687011719,0.44
guide_mode=classifier+scale=0.5+label=1,classifier,0.5,1,0,0.8423,31.1121413,116.3678106,3.029120207,0.674804688,0.453
guide_mode=classifier+scale=0.5+label=6,classifier,0.5,6,0,0.8496,39.05506257,137.7010449,2.99293828,0.732421875,0.472
guide_mode=classifier+scale=0.5+label=8,classifier,0.5,8,0,0.9644,36.21923074,134.381572,2.867405653,0.787597656,0.304
guide_mode=classifier+scale=1.0+label=1,classifier,1,1,0,0.9204,33.57208131,120.7672097,2.830887794,0.693359375,0.376
guide_mode=classifier+scale=1.0+label=6,classifier,1,6,0,0.9331,49.57289328,152.6194593,2.390966892,0.798339844,0.381
guide_mode=classifier+scale=1.0+label=8,classifier,1,8,0,0.9873,49.20077615,173.5026135,2.442238092,0.823242188,0.152
guide_mode=classifier+scale=2.0+label=1,classifier,2,1,0,0.9268,46.64354864,131.5190521,2.995669365,0.625,0.281
guide_mode=classifier+scale=2.0+label=6,classifier,2,6,0,0.9648,67.80990604,176.9397487,2.090962172,0.818359375,0.244
guide_mode=classifier+scale=2.0+label=8,classifier,2,8,0,0.9927,67.01356883,238.1261224,2.083899498,0.789550781,0.067
